Persona,Learning Path,Curriculum,Module Title,Module Level,Module Category,Module Topics Covered,Media Title,Media Link,Media Type,Media Topics Covered,Audience,Language,Author,Topic,Broader Topics,Narrower Topics,Event,Event Type,Sub Events
,,Open Knowledge Graph,Introduction to Set Theory,,,,Introduction to Set Theory,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/11.%20module.md,Article,"Union, Disjunction, Disjointness, Intersection, Cardinality, Tuple, Graph",,English,Mistral,,,,,,
,,Open Knowledge Graph,Introduction to Discrete Mathematics,,,,Introduction to Discrete Mathematics,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/12.%20module.md,Article,"Functionality, Reflexivity, Transitivity, Inverse, Domain, Range",,English,Mistral,,,,,,
,,Open Knowledge Graph,Open World Assumption vs Closed World Assumption,,,,Open World Assumption vs Closed World Assumption,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/13.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,RDF,,,,RDF,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/14.%20module.md,Article,"Triple, Subject, Object, Predicate, Class, Type, Namespaces, Literals, Blank Node, Property",,English,Mistral,,,,,,
,,Open Knowledge Graph,RDFS,,,,RDFS,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/15.%20module.md,Article,"Subclass, Subproperty, Domain Restrictions, Range Restrictions",,English,Mistral,,,,,,
,,Open Knowledge Graph,RDF Serializations,,,,RDF Serializations,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/16.%20module.md,Article,"RDF/XML, JSON-LD, Turtle",,English,Mistral,,,,,,
,,Open Knowledge Graph,RDF Star,,,,RDF Star,,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,SPARQL,,,,SPARQL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/18.%20module.md,Article,"Query, Select, Update, Delete, Insert, Construct, Explain",,English,Mistral,,,,,,
,,Open Knowledge Graph,SWRL,,,,SWRL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/19.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,OWL,,,,OWL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/20.%20module.md,Article,"OWL, OWL2, Datatypes, Data Properties, Object Properties, Axiom, Equiavalence, Anonymous Class, Annotations",,English,Mistral,,,,,,
,,Open Knowledge Graph,OWL Dialects,,,,OWL Dialects,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/21.%20module.md,Article,"Expressivity, OWL EL, OWL QL, OWL RL, OWL DL, OWL Full",,English,Mistral,,,,,,
,,Open Knowledge Graph,Manchester Syntax,,,,Manchester Syntax,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/22.%20module.md,Article,,,English,Mistral,,,,,,
,,Open Knowledge Graph,SHACL,,,,SHACL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/Mistral/23.%20module.md,Article,,,English,Mistral,,,,,,
